id,name,ig_followers,ig_handle,category,subcategory
32617,Ashleelhomie,366563,ashleelhomie,Comedy & Memes,Viral & Memes
32764,Be Hawsi,364045,be_hawsi,Comedy & Memes,Viral & Memes
32706,Town Full Of Sarcasm,359737,sarcastic.town,Comedy & Memes,Viral & Memes
32782,Check To Karo,359011,singlesplace,Comedy & Memes,Viral & Memes
1402,ᕼ ᗩᗰᗩᒪᗪᗩs,356814,mhamaldas,Entertainment,Fun-Content
32824,Farzigags,352810,farzigags,Comedy & Memes,Viral & Memes
29472,Marathi Memes And Trolls,351565,marathi_memes_and_trolls,Comedy & Memes,Viral & Memes
40358,I Am A Marathi Teacher,351169,ifeelmarathi,Comedy & Memes,Viral & Memes
32812,The Meme Factory,350100,memesfactory.ig,Comedy & Memes,Viral & Memes
10634,Ammy Virk Fans Club,347480,ammyvirkfansclub,Community Pages,Fan-Page: Sports & Sports-Celebs
32622,Naughty School,346268,_naughtyschool_,Comedy & Memes,Viral & Memes
32373,Shinchan Tamil,345249,shinchantamil.in,Comedy & Memes,Viral & Memes
32986,Kaipulla Memes,344847,kaipulla_memes2.0,Comedy & Memes,Viral & Memes
48478,𝗠𝗘𝗠𝗘 | 𝗤𝗨𝗢𝗧𝗘𝗦 | 𝗟𝗢𝗩𝗘,343473,bestiess.forever_,Comedy & Memes,Viral & Memes
32616,𝐇𝐮𝐦𝐨𝐫𝐂𝐚𝐬𝐦𝐢𝐜,343242,humorcasmic,Comedy & Memes,Viral & Memes
32368,Chennai Ponnunga Da,342598,chennaiponnungada,Comedy & Memes,Viral & Memes
32825,Friendship Goal,341728,myfriendshipgoal,Comedy & Memes,Viral & Memes
32426,Memes With Makkal,341238,memeswithmakkal,Comedy & Memes,Viral & Memes
43759,Happy Moments,337866,making.men.happy,Comedy & Memes,Viral & Memes
32623,69 Error,336517,69error,Comedy & Memes,Viral & Memes
32705,Memes | Reels | Drama,334695,indianmemegram,Comedy & Memes,Viral & Memes
32618,Chalbyeyaar,334293,chalbyeyaar,Comedy & Memes,Viral & Memes
29466,Hebaghbhava-,334290,hebaghbhava,Comedy & Memes,Viral & Memes
45008,Hyd Meme Wala,333122,hyderabadimemewala,Comedy & Memes,Viral & Memes
32802,Relationship Goals,330327,couple.goals.tales,Comedy & Memes,Viral & Memes
32365,Video Memes,329117,videomemes.in,Comedy & Memes,Viral & Memes
32625,Naughty Sarcasm,322249,_naughtysarcasm,Comedy & Memes,Viral & Memes
48482,The Girls Sayings,316035,the.girls.sayings,,
32783,𝗧𝗵𝗲 𝗜𝗱𝗶𝗼𝘁𝗶𝗰 𝗧𝗿𝗼𝗹𝗹,313324,theidiotictroll,Comedy & Memes,Viral & Memes
32637,Naughtybillu,313155,_naughtybillu_,Comedy & Memes,Viral & Memes
32690,Nasty Gag,311167,nastygag,Comedy & Memes,Viral & Memes
48480,𝙎𝙖𝙧𝙘𝙖𝙨𝙩𝙞𝙘 𝙏𝙪𝙗𝙚,308277,sarcastictube,Comedy & Memes,Viral & Memes
13539,Srushti Shah,306708,ssrushti,Fitness,Training & Fitness
32367,Encounter Ekambaram,304125,encounter___ekambaram,Comedy & Memes,Viral & Memes
32768,Girl Admin,298524,sarcasmicschool_,Comedy & Memes,Viral & Memes
32629,Naughtyjokes,296448,_naughtyjokes,Comedy & Memes,Viral & Memes
32364,Thug Tamil,294672,thug_.tamil_,Comedy & Memes,Viral & Memes
32787,𝘿𝙚𝙨𝙞 𝙅𝙤𝙠𝙚,293423,desii.joke,Comedy & Memes,Viral & Memes
32371,Ennama__anga__satham,292382,ennama__anga__satham,Comedy & Memes,Viral & Memes
32642,One Side Lovers,287702,one_side_lovers,Comedy & Memes,Viral & Memes
32264,Office Memes For Working Teens,282624,officememesforworkingteens,Comedy & Memes,Viral & Memes
41197,Americanrilafrustration - Anlf,281911,america_nri_la_frustration,Comedy & Memes,Viral & Memes
46081,Hasle Bhaii,280843,hasle.bhaii,Comedy & Memes,Viral & Memes
32692,Epicschooldayss,280548,epicschooldayss,Comedy & Memes,Viral & Memes
32621,Single Logo Ki Army,278557,singlesena_,Comedy & Memes,Viral & Memes
32374,Kaipulla Talkies,271850,kaipullatalkies,Comedy & Memes,Viral & Memes
23122,Chavat Tatya,271330,chavat_tatya,Comedy & Memes,Viral & Memes
32708,Check To Karo,270061,fukreyculture,Comedy & Memes,Viral & Memes
32765,Tharki Damad,269925,damad_jee,Comedy & Memes,Viral & Memes
28053,Haramiparindey,266675,haramiparindey,Comedy & Memes,Viral & Memes
32641,Ashleelculture,265365,ashleelculture,Comedy & Memes,Viral & Memes
32376,𝗩𝗶𝗿𝗮𝗹 𝗣𝗼𝘀𝘁𝘂,265111,viralpostu,Comedy & Memes,Viral & Memes
32792,Adulttroll.ig,264748,theadulttroll.ig,Comedy & Memes,Viral & Memes
32640,Shinchan Memes,261393,shinchan.meme,Comedy & Memes,Viral & Memes
32379,Bachelor Of Entertainment,260929,bachelor.of.entertainment,Comedy & Memes,Viral & Memes
32747,Official Page Of Flirtnations,260698,flirtynations,Comedy & Memes,Viral & Memes
32713,Our School Life,259560,ourschoolife,Comedy & Memes,Viral & Memes
32758,Funny Wala,257956,funny_wala,Comedy & Memes,Viral & Memes
32378,Troll Postu,257560,trollpostu,Comedy & Memes,Viral & Memes
32382,Single Seyalgal,254373,singleseyalgal,Comedy & Memes,Viral & Memes
32383,Showkalis Swag,254186,showkalis_swag,Comedy & Memes,Viral & Memes
40365,Rookieedits,249826,rookieedits_,"News, Media & Magazines",Entertainment
32785,𝗦𝗶𝗻𝗴𝗹𝗲𝘀 𝗛𝘂𝗯,249131,singleshubb,Comedy & Memes,Viral & Memes
32326,R A A G H U L,249038,cringe_c.at,Comedy & Memes,Viral & Memes
48442,Check To Karo,248694,bestie.ka.pyar,Comedy & Memes,Viral & Memes
32380,Half Boil Memes,238417,halfboilmemes_2.0,Comedy & Memes,Viral & Memes
26290,We Memkar,237293,aamhimemekar,Comedy & Memes,Viral & Memes
32673,𝗧𝗵𝗲 𝗦𝗰𝗵𝗼𝗼𝗹 𝗟𝘆𝗳,234840,theschoolyf,Comedy & Memes,Viral & Memes
8090,Bakchod Nation,233511,bakchod_nation,Comedy & Memes,Viral & Memes
32714,𝗧𝗛𝗔𝗥𝗔𝗞 𝗙𝗟𝗜𝗫,232649,tharakflix,Comedy & Memes,Viral & Memes
32677,S A R C A S M I C Boi,231642,sarcasmic.boi,Comedy & Memes,Viral & Memes
25291,Shubham Khurana,229283,corporatcomics,Arts,Doodling & Animation
32644,Memes | Comedy | Drama,227114,schoolmemories.ig,Comedy & Memes,Viral & Memes
32816,Memes | Comedy | Laughter,227114,flirting.school,Comedy & Memes,Viral & Memes
32295,Mysuru Memes,225535,mysuru_memes,Community Pages,City-focused Content
32298,The Dope Indian,225458,thedopeindian,Comedy & Memes,Viral & Memes
26603,Urbanasian,224944,urbanasian,"News, Media & Magazines",Entertainment
32773,𝗗𝗲𝘀𝗶 𝗧𝗿𝗼𝘂𝗯𝗹𝗲,219960,desitrouble,Comedy & Memes,Viral & Memes
32384,Maja Version,219872,majaversion,Comedy & Memes,Viral & Memes
32390,Meme.engineering.m.e,219571,meme.engineering.m.e,Comedy & Memes,Viral & Memes
32395,Be Like Sagala,218582,belikesagala,Comedy & Memes,Viral & Memes
32388,90s Kids Daw,217956,90skidsdaw_,Comedy & Memes,Viral & Memes
27942,Lucknow,217782,lucknow_memes,Community Pages,City-focused Content
32381,Besties,214394,besties_meme,Comedy & Memes,Viral & Memes
32319,Bengaluru Adda,213530,bengaluruadda,Comedy & Memes,Viral & Memes
32386,𝙏𝙧𝙤𝙡𝙡𝙨𝙞𝙣𝙜𝙡𝙚𝙨,212128,trollsingles,Comedy & Memes,Viral & Memes
32385,Jill Jung Juck,208692,_jill_jung_juck,Comedy & Memes,Viral & Memes
32389,Masala_poori_memes_official,208212,masala_poori_memes,Comedy & Memes,Viral & Memes
32645,Ashleeldude,207803,ashleeldude,Comedy & Memes,Viral & Memes
45659,Nagpur's Club Official,206886,nagpursclub_,Comedy & Memes,Viral & Memes
32749,Masti Ka Doze,204392,mastikadoze,Comedy & Memes,Viral & Memes
32719,Rooh,204059,creativesarxasm,Comedy & Memes,Viral & Memes
32772,Check Toh Karo,198742,thengineerslife,Comedy & Memes,Viral & Memes
11599,Sunil Minglani,197261,sunilminglani,"News, Media & Magazines",Business & Finance
32743,Friendshipschoool,196782,friendshipschoool,Comedy & Memes,Viral & Memes
32740,Dont Visit,196511,_love.connection._,Comedy & Memes,Viral & Memes
32276,Quotes | Sarcasm | Comics,194233,bossbitch.10,Comedy & Memes,Viral & Memes
32663,Inscribed Feelings,193493,inscribedfeelingss,Comedy & Memes,Viral & Memes
32633,𝐏𝐫𝐚𝐧𝐤𝐢𝐧𝐭𝐨,191737,prankinto100,Comedy & Memes,Viral & Memes
32683,Be Ashleel Stay Ashleel,191363,be.ashleel,Comedy & Memes,Viral & Memes
38555,School Wali Baatein,190755,school.wali.baatein,Comedy & Memes,Viral & Memes
32742,Thecrush4ever (tce),190375,crush4ever.in,Comedy & Memes,Viral & Memes
32680,Nahidegi,189440,_nahidegi_,Comedy & Memes,Viral & Memes
32744,𝐓𝐡𝐞 𝐁𝐚𝐜𝐤 𝐁𝐞𝐧𝐜𝐡𝐞𝐫,186231,thebackbnchers,Comedy & Memes,Viral & Memes
32651,Bro Addict Official,185937,bro.addict,Comedy & Memes,Viral & Memes
32643,Impress Your School Crush,185538,baack.benchers,Comedy & Memes,Viral & Memes
13403,Selwyn D’souza,183008,sellydsouzaaa,Comedy & Memes,Viral & Memes
32658,Tum Kyaa Jaano,182430,tum_kyaa_jaano,Comedy & Memes,Viral & Memes
32436,Tamil Crazy Vidz,182375,tamil_crazy_vidz,Comedy & Memes,Viral & Memes
32647,Girl Admin,179477,thecomicvilla,Comedy & Memes,Viral & Memes
32771,Bakchoditroll,178654,bakchoditroll,Comedy & Memes,Viral & Memes
32387,Araathi Ponnunga Da,177515,araathiponnungada,Comedy & Memes,Viral & Memes
32475,Update Tamil,176439,90s_kids__memes,Comedy & Memes,Viral & Memes
32678,𝗘𝗽𝗶𝗰𝘀𝗼𝗰𝗶𝗲𝘁,176226,epicsocietty,Comedy & Memes,Viral & Memes
32751,Tharki Us,175864,tharki.us,Comedy & Memes,Viral & Memes
32685,School Life,175637,schoool.lyf,Comedy & Memes,Viral & Memes
41231,Asrith Ayan,174485,mr_funny__music,Community Pages,Fan-Page: Movies & Movie-Celebs
32648,Dream 300k,173913,reelslove.ig,Comedy & Memes,Viral & Memes
32393,Half Boil Videos,172913,halfboilvideos,Comedy & Memes,Viral & Memes
32283,Pcmb Memes,172309,pcmbmemes,Comedy & Memes,Viral & Memes
32679,Ghantatube,171585,ghantatube,Comedy & Memes,Viral & Memes
32391,Thalaivar Postu,171577,thalaivarpostu,Comedy & Memes,Viral & Memes
32784,𝐂𝐡𝐞𝐜𝐤 𝐓𝐨 𝐊𝐚𝐫𝐨,171290,justengineerslife,Comedy & Memes,Viral & Memes
32682,Oddy Meme,170528,oggymeme,Comedy & Memes,Viral & Memes
32289,Commerce Memes And Education,164505,commercian.life,Comedy & Memes,Viral & Memes
32776,Memes,164304,bewde_chacha,Comedy & Memes,Viral & Memes
44204,Hutiyapa,163582,h.u.t.i.y.a.p.a,Comedy & Memes,Viral & Memes
2464,Who Wore What,162223,whoworewhat.club,Community Pages,Fan-Page: Movies & Movie-Celebs
32630,Indian Bombs,162048,18plussocietyy,Comedy & Memes,Viral & Memes
11556,Antic Amdavadi,160355,antic_amdavadi,Comedy & Memes,Viral & Memes
32684,The Funky Classes,160078,funky.classes,Comedy & Memes,Viral & Memes
32650,Cartoons Media,158837,cartoons.media,Community Pages,Gaming & Anime Community Page
41115,Comic.world,157704,comicalworldd,Comedy & Memes,Viral & Memes
32399,Mokka Sir,154348,mokkasir,Comedy & Memes,Viral & Memes
32649,𝗔𝗱𝗺𝗶𝗻 𝗴𝗶𝗿𝗹,153431,_frnds.forever_,Comedy & Memes,Viral & Memes
39334,Comedywala..,153341,_comedywal.a,Comedy & Memes,Viral & Memes
6018,Naughtyhome,151870,naughty_home,Comedy & Memes,Viral & Memes
32786,Desilaughters,151027,desilaughters,Comedy & Memes,Viral & Memes
32398,Sumar Postu,150856,sumarpostu,Comedy & Memes,Viral & Memes
32827,Mba Memewale,150555,mba.memewale,Comedy & Memes,Viral & Memes
32401,Madras Memoirs,149234,madrasmemoirs,Community Pages,City-focused Content
32396,Memer Postu,147728,memerpostu,Comedy & Memes,Viral & Memes
32402,Belikemachi,147504,belikemachi,Comedy & Memes,Viral & Memes
32327,I.t. Memes,146806,itmemezz,Comedy & Memes,Viral & Memes
32698,Girly Life,145838,girlylife_._,Comedy & Memes,Viral & Memes
32285,Icse Memes,141101,icse_toughest_of_all_existing,Comedy & Memes,Viral & Memes
48445,Post Se Dil Ko Chuu Loonga,139339,sarifduniyaa,"News, Media & Magazines",Feel-Good News / Stories
32465,Vayasu Pasanga,138981,vayasu_pasanga_official,Comedy & Memes,Viral & Memes
45278,Brown People Humor,138479,brown_people_humor,Comedy & Memes,Viral & Memes
