id,name,ig_followers,ig_handle,category,subcategory
48521,Daler Mehndi,4634573,thedalermehndiofficial,Arts,Music & Singing
42896,Yashasvi Jaiswal,4607488,yashasvijaiswal28,Sports,Professional: Team Sports
9639,Sachet Tandon,4602725,sachettandonofficial,Arts,Music & Singing
22320,Rinku,4600201,rinkukumar12,Sports,Professional: Team Sports
27594,Techburner,4598331,techburner,Tech,Gadget Reviews & Unboxing
14611,Adaa Khan,4581996,adaakhann,Arts,"Acting, Pro (Movies)"
37392,Arvind Kharra,4573641,techmasterco,Tech,"Software & App: Tips, Hacks & Reviews"
53423,Vedant Singh,4538683,vedantsir_,Health,"Body, Body-care & Vitality"
31495,Dheeraj Dhoopar,4520038,dheerajdhoopar,Arts,"Acting, Pro (Movies)"
24764,Nandini Sharma,4515110,nandanisharma512,Entertainment,Singing & Music Videos
13857,Rannvijay,4512160,rannvijaysingha,Arts,"Acting, Pro (Movies)"
22201,Kuldeep Yadav,4483783,kuldeep_18,Sports,Professional: Team Sports
9781,Alya Manasa,4480547,alya_manasa,Arts,"Acting, Pro (Movies)"
48489,Business | Share Market | Finance,4460785,businessman_habits,"News, Media & Magazines",Business & Finance
53434,Abaan Akhtar,4453708,abaan___akhtar,"Family, Kids & Pets",Family / Couple Vlogs 
25334,Amrit Maan,4450680,amritmaan106,Arts,Music & Singing
32255,Laughter Colours,4447269,laughtercolours,Comedy & Memes,Viral & Memes
22113,Samreen,4440360,samreenkaur__,Arts,"Acting, Pro (TV / Series)"
11064,Mukul Gain,4421875,mukulgain.official,Arts,Professional Dancing
51864,Komal Dutt,564512,komal_k811,Entertainment,Singing & Music Videos
50537,Mohd Arbaz Khan,564476,arbaazvlogs,Travel & Places,Travel & Food Photography
26932,Sandeep Bhatt,564382,sandeep__bhatt,"Family, Kids & Pets",Family / Couple Vlogs 
31651,Ishwak Singh,564380,ishwaksingh,Arts,"Acting, Pro (TV / Series)"
841,Apoorva Mishra,564303,apoorvamishra_,Fashion,Style & Grooming
22165,Karun Nair,564251,karun_6,Sports,Professional: Team Sports
48155,Sarthak Sachdeva,563685,sarthaksachdevva,Entertainment,Info-tainment
23409,Anuj Tiwari,563143,anujtiwariofficial,"Family, Kids & Pets",Family / Couple Vlogs 
23381,Anil Geela,562795,myvillageshow_anil,Arts,"Acting, Pro (TV / Series)"
24364,Niharikaa Agarwwal,562777,niharikaaagarwal,Entertainment,Singing & Music Videos
45022,Akshay Dogra,562724,akshaydogra01,Entertainment,Singing & Music Videos
47049,Suresh Krishnan,562509,lash_couplelife,Entertainment,Fun-Content
30343,Vasanti Akhani,562434,vasantiakhani,Entertainment,Singing & Music Videos
35338,Nejm,561972,keepinitnejm,Beauty,Style & Grooming
50609,Bhavesh Manglanii,561789,ibhaveshmanglani,,
49845,Dustu Biswas,561672,dustu109,Entertainment,Singing & Music Videos
27310,Vishal Kashyap,561658,hanjimaihuvishal,Entertainment,Fun-Content
11999,Prakash Gupta,561339,__the_cold_one,,
8632,Rahul Raj,561189,squawk_rahulraj,Entertainment,Fun-Content
32587,Mr Johnny Bhai,560988,mr_johnny_bhai,Comedy & Memes,Viral & Memes
49188,Sarbani Datta,1667,sd_sarbani,Entertainment,Singing & Music Videos
20481,Ruchi Dhingra,1656,ruchi__dhingra,Beauty,Makeup & Cosmetics
49696,Adity Iyer,1654,adityiyerr,Fashion,Style & Grooming
48972,Zishan Shaikh,1648,zishan___shaikh,Lifestyle & Living,Personal Vlogs
17708,Shaista Sayed,1639,shaistasayed71,"Family, Kids & Pets",Family / Couple Vlogs 
47488,Binda Rawal,1632,rawalbinda,Arts,"Acting, Pro (Movies)"
47770,Mansi Kumari,1628,__memansiii,Beauty,Skin-Care
48825,Govit Khasare,1611,__gops_,Fashion,Style & Grooming
