id,name,ig_followers,ig_handle,category,subcategory
11698,Mrkhabri,92445,mrkhabri,"News, Media & Magazines",Entertainment
38284,Maazx,91227,maazx.d,Business & Startups,Freelancing Tips & Growth
32433,Cupid Love Bgm,90968,cupid_love_bgm,Community Pages,Fan-Page: Movies & Movie-Celebs
32844,Travellersofmumbai,90498,travellersofmumbai,Community Pages,City-focused Content
38410,Lovydaby,90376,lovydaby,,
32931,Soul Travelling,89949,soul.travelling,Community Pages,City-focused Content
2058,Pawan Kalyan Official,89895,pawanism_universe,Community Pages,Fan-Page: Movies & Movie-Celebs
8907,Rvcj Maharashtra,89495,rvcjmaharashtra,Community Pages,City-focused Content
32469,Rascal Creation,89143,official_insta_bgm,"News, Media & Magazines",Entertainment
42552,Mohd Asif,88815,hyderabad_jobs_portal,Community Pages,Professional/Career-focused Content
45434,Suvclub07,88518,suvclub07,,
38198,Bollyeditssx99,88259,9.34_editss,Community Pages,Fan-Page: Movies & Movie-Celebs
32432,Trending Status,88248,high_beatz_songs,Comedy & Memes,Viral & Memes
32688,ꜱᴇʀɪᴏᴜꜱ ᴛʜɪɴᴋꜱ,88006,seriousthinks,Lifestyle & Living,Product Reviews / Shopping
32454,Terribly Dank Tales,109736,teasollumachi,Comedy & Memes,Viral & Memes
38464,Ashish,109569,__ashish___4x,Community Pages,Art & Artist Community Page
45157,Lyrics And Words,109561,_lyricsandwords_,Comedy & Memes,Viral & Memes
44486,Vijay Bairagi,109023,vidisha_shahar,Community Pages,City-focused Content
38501,Tanvi,109017,lyrics_tanvi____567,"News, Media & Magazines",Entertainment
32836,Afaqs!,108930,afaqsdotcom,"News, Media & Magazines",Lifestyle & Culture
38492,𝗦 𝗨 𝗕 𝗛 𝗔 𝗠,108558,suvo_lyrics8,"News, Media & Magazines",Entertainment
8677,Unseen Delhi,108232,unseen.delhi,Community Pages,City-focused Content
32978,Streets Of Trichy,108114,streets.of.trichy,Community Pages,City-focused Content
38195,Junior 10,107776,youediting9,"News, Media & Magazines",Entertainment
45053,Sutterup,107403,editsbysutter,Comedy & Memes,Viral & Memes
32425,Insta Trendy Bgms,107067,insta_trendy_bgms,"News, Media & Magazines",Entertainment
38409,Relatable Quotes,106404,the.onelinner,"News, Media & Magazines",Feel-Good News / Stories
32870,Things2exploreinmumbai,106312,things2exploreinmumbai,Community Pages,City-focused Content
32965,Noida Greaternoida Residents,106125,noida_greaternoida_residents,Community Pages,City-focused Content
32695,Army_.status,105665,army_.status,Comedy & Memes,Viral & Memes
8715,Northeast India,105398,northeast_india,Community Pages,City-focused Content
43478,𝗕𝗹𝗼𝗰𝗸𝗯𝘂𝘀𝘁𝗲𝗿𝗺𝗲𝗱𝗶𝗮,105337,blockbuster.media,"News, Media & Magazines",Lifestyle & Culture
32410,Troll Cricket Tamil,104750,trollcricketamil,Comedy & Memes,Viral & Memes
33053,The Creator’s Canvas,104637,canvasofcreators,Community Pages,Fan-Page: Movies & Movie-Celebs
40242,Unfolding India,104348,unfoldingindia_,Travel & Places,Street / People Photography
43535,Mollywood Media Movies,104132,mollywoodmediamovies,Community Pages,Fan-Page: Movies & Movie-Celebs
40043,Akash Singh,103328,namaste__pilibhit,Community Pages,City-focused Content
44983,Chhattisgarhi Duniya,103071,chhattisgarhi_duniya,Community Pages,City-focused Content
38911,Kolkata Connection,102907,kolkata.connection,Community Pages,City-focused Content
32842,Whats Up Mumbailife,102615,whatsupmumbailife,Community Pages,City-focused Content
32709,Tom And Jerry,102607,tomandjerry.fandom,Comedy & Memes,Viral & Memes
32687,Next Level Poetry,102131,nextlevel.poetry,Comedy & Memes,Viral & Memes
38176,Love Vibes,101635,lifeline_status_67,Community Pages,Fan-Page: Movies & Movie-Celebs
43546,Awasthi,101359,indianrailwaywala,Travel & Places,Backpacking & Biking
44894,Aman,100620,lyrical.memories,"News, Media & Magazines",Entertainment
1936,Aviation Photography India🇮🇳,100331,aviation_photography_india,Comedy & Memes,Viral & Memes
32850,Mumbai Uncensored,100067,mumbai_uncensored,Community Pages,City-focused Content
44901,𝙎𝙝𝙖𝙮𝙖𝙧𝙞,99868,poisoninmycoffeee,"News, Media & Magazines",Feel-Good News / Stories
