id,name,ig_followers,ig_handle,category,subcategory
31473,Akansha Ranjan,1104646,akansharanjankapoor,Arts,"Acting, Pro (TV / Series)"
138,Abhishek Verma,1104590,i.m.abhishekk,Arts,"Acting, Pro (Movies)"
43457,Shubhangi Atre,1104040,shubhangiaofficial,Arts,"Acting, Pro (TV / Series)"
24706,Luviena Lodh,1103746,luvienalodh,Arts,"Acting, Pro (TV / Series)"
13741,Ranjani Raghavan,1102977,ranjani.raghavan,Arts,"Acting, Pro (Movies)"
15815,Vahbiz Dorabjee,1100980,vahbz,Lifestyle & Living,Personal Vlogs
48351,Anitha Sampath,1098228,official_anithasampath,Lifestyle & Living,Personal Vlogs
13780,Manasi Parekh,1098198,manasi_parekh,Arts,"Acting, Pro (TV / Series)"
11965,Ganeshraj Narvekar,1097501,ganeshnarvekar,Sports,Professional: Team Sports
42687,Shiny K Doshi,1096731,shinydoshi15,Arts,"Acting, Pro (Movies)"
9515,Ankush Bahuguna,1095518,ankushbahuguna,"Family, Kids & Pets",Family / Couple Vlogs 
10786,Myra Singh,1094291,myrasinghofficial,Arts,"Acting, Pro (TV / Series)"
33895,Bhagyashri Borse,1094287,bhagyashriiborse,Arts,"Acting, Pro (TV / Series)"
23367,Adil Feroz Khan,1093950,adilkhan.official,"Acting, Pro (TV / Series)",
31572,Sakshi Dwivedi,1092989,sakshidwivediofficial,Arts,"Acting, Pro (TV / Series)"
33369,Akriti Negi,1091715,akritinegi_official,Arts,"Acting, Pro (Movies)"
23411,Sri Satya,1088347,sri_satya_,Arts,"Acting, Pro (Movies)"
43261,Pooja Batra Shah,1088145,poojabatra,Arts,"Acting, Pro (TV / Series)"
30991,Indhuja Ravichandran,1086713,indhuja_ravichandran,Arts,"Acting, Pro (TV / Series)"
32210,Ganesh,1084775,goldenstar_ganesh,Arts,"Acting, Pro (TV / Series)"
22284,Sreejita De Blohm,1084143,sreejita_de,Arts,"Acting, Pro (Movies)"
20289,Aishwarya Khare,1083816,aishwarya_khare,Arts,"Acting, Pro (Movies)"
23331,Harshitaa,1083504,harshita1210,Arts,"Acting, Pro (TV / Series)"
47006,Rs,1082885,ritviksahore,Arts,"Acting, Pro (TV / Series)"
24270,Jiya Khan,1079227,jiyakhan2230,Entertainment,Fun-Content
9570,Akanksha Sharma,1078383,akanksharmaa,Arts,"Acting, Pro (TV / Series)"
42728,Nimisha Bindu Sajayan,1073828,nimisha_sajayan,Arts,"Acting, Pro (TV / Series)"
43308,Avinash Mukherjee,1070803,avinashmukherjee_,Arts,"Acting, Pro (TV / Series)"
40984,Siddhu Jonnalagadda,1069534,siddu_buoy,Arts,Film-making & Cinematography
43438,Aarti Khetarpal,1066244,iaartikhetarpal,Arts,"Acting, Pro (TV / Series)"
21691,Leena Jumani,1063933,leena_real,Arts,"Acting, Pro (TV / Series)"
24814,Divya Uruduga,1057650,divya_uruduga,Arts,"Acting, Pro (TV / Series)"
16588,Sridevi Ashok,1053837,srideviashok_official,Arts,"Acting, Pro (TV / Series)"
23683,Aarushi Nishank,1052966,arushi.nishank,Arts,Film-making & Cinematography
28829,Papon,1049197,paponmusic,Arts,Music & Singing
11124,Arshiya Arshi,1047913,arshiyaarshiofficial,Arts,Music & Singing
42799,Dr. Lalit Shokeen,1046975,lalitshokeen1515,Entertainment,Fun-Content
14592,Kalki Koechlin,1043528,kalkikanmani,Arts,"Acting, Pro (TV / Series)"
12974,Smita Bansal,1042778,bansalsmita_,Arts,"Acting, Pro (Movies)"
9568,Nikhil Chinapa,1041779,nikhilchinapa,Arts,Music & Singing
22460,Geeta Phogat,1040546,geetaphogat,Sports,Professional: Individual Sports
28871,Rohit Bose Roy,1037877,rohitboseroy,Arts,"Acting, Pro (TV / Series)"
20285,Monisha Blessy B,1035986,monisha.blessy,Entertainment,Fun-Content
28955,Karan Mehra,1034651,realkaranmehra,Arts,"Acting, Pro (TV / Series)"
30938,Rasika Sunil,1031475,rasika123s,Arts,"Acting, Pro (TV / Series)"
14130,Drishtii Garewal,1031222,drishtiigarewal9,Arts,"Acting, Pro (TV / Series)"
11093,Rehan Poncha,1031140,rehanponcha,Sports,Professional: Individual Sports
49811,Susmita Dey,1030588,susmitadey.official,Arts,"Acting, Pro (Movies)"
42689,Priyanshi Yadav,1030407,priyanshiyadavofficial_,Arts,"Acting, Pro (Movies)"
13421,Gayathri Shan,1030403,gayathrishan_official,Arts,"Acting, Pro (TV / Series)"
9654,Himanee Aarya Bhatia,1028820,himaneebhatia,Arts,"Acting, Pro (TV / Series)"
32164,Dream Girl Hema Malini,1028543,dreamgirlhemamalini,Arts,"Acting, Pro (TV / Series)"
31893,Vikram Singh Chauhan,1025908,vikramsingh_chauhan,Arts,"Acting, Pro (Movies)"
21720,Anaika,1025727,ianaikaa,Arts,"Acting, Pro (TV / Series)"
23372,Meenakshi Dixit,1025012,meenakshidixit,Arts,"Acting, Pro (TV / Series)"
15386,Abishek Kumar,1022761,theabishekkumar,Comedy & Memes,Standup Performer
32068,Abhinav Shukla,1022218,ashukla09,Arts,"Acting, Pro (TV / Series)"
43435,Niharica Raizada,1021868,official_niharica_raizada,Arts,"Acting, Pro (TV / Series)"
22403,Shreya Dhanwanthary,1020906,shreyadhan13,Arts,"Acting, Pro (TV / Series)"
42576,Aishwarya Kaushik,1017644,aishwaryakaushik__,Entertainment,Fun-Content
10385,Mallikadua,1015795,mallikadua,Arts,"Acting, Pro (TV / Series)"
11169,Lekha Prajapati,1014512,lekhaprajapati,Arts,"Acting, Pro (TV / Series)"
47389,Ariah Agarwal,1012170,itisariah,Beauty,Makeup & Cosmetics
7691,Aadhya Anand,1011192,aadhya_anand,Arts,"Acting, Pro (TV / Series)"
30953,Malati Chaahar,1010268,maltichahar,Arts,"Acting, Pro (TV / Series)"
32232,Vishal Aditya Singh,1009909,vishalsingh713,Arts,"Acting, Pro (Movies)"
32207,Dushara Vijayan,1009537,dushara_vijayan,Arts,"Acting, Pro (TV / Series)"
30947,Jiiva,1009486,actorjiiva,Arts,"Acting, Pro (TV / Series)"
8786,Sambhavna Seth,1009416,sambhavnasethofficial,Arts,"Acting, Pro (TV / Series)"
51583,Tejaswwini,1007873,tejaswini_pandit,Arts,"Acting, Pro (Movies)"
33524,Celesti Bairagey,1007385,celesti.bairagey,Arts,"Acting, Pro (Movies)"
27337,Rahul Roy,1006550,officialrahulroy,Arts,"Acting, Pro (TV / Series)"
10795,Riva Kishan,1005366,itsrivakishan,Arts,"Acting, Pro (TV / Series)"
42810,𝐆𝐔𝐍𝐉𝐀𝐍 𝐔𝐓𝐑𝐄𝐉𝐀,1004047,gunjanutreja,Arts,"Acting, Pro (TV / Series)"
26409,Munisha Khatwani Tarot Reader,1003957,munishakhatwani,Lifestyle & Living,Personal Vlogs
57,Reecha Sinha,1001033,reecha_sinha,Arts,"Acting, Pro (TV / Series)"
6468,Maeraa Misshra,1000613,maeramishra,Arts,"Acting, Pro (Movies)"
24123,Alina Rai,1000557,alinarai07,Arts,"Acting, Pro (TV / Series)"
10790,Disha Madan,1000299,disha.madan,Arts,"Acting, Pro (TV / Series)"
6598,Spruha Joshi,999119,spruhavarad,Arts,"Acting, Pro (TV / Series)"
15956,Naina Ganguly,997175,nainaganguly,Arts,"Acting, Pro (TV / Series)"
